K,num_threads,mean,variance
3,1,0.100398,0.00003530975979846863
3,2,0.049796,0.00000135299229346998
3,3,0.034970,0.00000006724891388541
3,4,0.026562,0.00000016426624333621
3,5,0.024414,0.00011687418557519347
3,6,0.019086,0.00002364759185135436
3,7,0.015650,0.00000001961925683336
3,8,0.014056,0.00000003126492943112
3,9,0.012696,0.00000003618152475732
3,10,0.011626,0.00000009524127132925
3,11,0.010591,0.00000004020740314338
3,12,0.009792,0.00000004036068252611
3,13,0.009219,0.00000006149437874866
3,14,0.009060,0.00000007108815412984
3,15,0.008940,0.00000002930674173815
3,16,0.008511,0.00000004760425864615
3,17,0.009158,0.00000188678858003546
3,18,0.008564,0.00000181124049121458
3,19,0.008686,0.00000134793711242374
3,20,0.009300,0.00000282713152120295
3,21,0.011544,0.00000008712290873666
3,22,0.011204,0.00000004619361048370
3,23,0.010905,0.00000004916986908016
3,24,0.011172,0.00001032869639827177
3,25,0.010068,0.00000098867381772084
3,26,0.010906,0.00002802871768189577
3,27,0.009156,0.00000003730835599359
3,28,0.009012,0.00000010596417559313
3,29,0.008786,0.00000002339743631687
3,30,0.008622,0.00000007873954717283
3,31,0.008539,0.00000092970102638186
3,32,0.008160,0.00000002184804824437
3,33,0.007981,0.00000002266741689664
3,34,0.007889,0.00000006552136864880
3,35,0.007729,0.00000003523343645171
3,36,0.007620,0.00000008112516807461
3,37,0.007728,0.00000008867924615908
3,38,0.007543,0.00000006072356637452
3,39,0.007484,0.00000004580088220166
3,40,0.007586,0.00000009928515081757
4,1,0.128228,0.00000059610396443606
4,2,0.065368,0.00000067140467594931
4,3,0.043818,0.00000011522124152777
4,4,0.034363,0.00000011687554346284
4,5,0.028002,0.00000007745219046504
4,6,0.023444,0.00000005089444820725
4,7,0.020704,0.00000261748412551902
4,8,0.019589,0.00005256719574458152
4,9,0.016044,0.00000000487902625523
4,10,0.015805,0.00000806959318111251
4,11,0.016250,0.00006185134134303705
4,12,0.012475,0.00000002869438143205
4,13,0.013756,0.00011094440535312285
4,14,0.013099,0.00000824356055210572
4,15,0.012405,0.00004524412640584403
4,16,0.011174,0.00000251178562045283
4,17,0.010352,0.00000008350095760796
4,18,0.011065,0.00000180861923593787
4,19,0.010891,0.00000264052408486102
4,20,0.012091,0.00000346514787166195
4,21,0.016161,0.00000948726404955357
4,22,0.015017,0.00000068084588042303
4,23,0.014612,0.00000097212980222887
4,24,0.014929,0.00003277538569689670
4,25,0.013321,0.00000059362208729811
4,26,0.012587,0.00000374102845930760
4,27,0.011810,0.00000011287625628188
4,28,0.011595,0.00000008714545583332
4,29,0.011461,0.00000008268335516250
4,30,0.011121,0.00000004048376063476
4,31,0.010792,0.00000004456661882861
4,32,0.010554,0.00000004443909114960
4,33,0.010494,0.00000004119261723561
4,34,0.010406,0.00000003347801423893
4,35,0.010091,0.00000003991921488332
4,36,0.009975,0.00000005445698266525
4,37,0.009974,0.00000009103277700604
4,38,0.009967,0.00000007563993772678
4,39,0.009946,0.00000003458473631416
4,40,0.009938,0.00000004171220735944
8,1,0.251454,0.00000107838853770602
8,2,0.127567,0.00000134513114572930
8,3,0.090570,0.00002611034397058735
8,4,0.067271,0.00000018312051738057
8,5,0.054338,0.00000019584436510108
8,6,0.046919,0.00001544795299946828
8,7,0.040138,0.00000009718473633007
8,8,0.036007,0.00000919658611393418
8,9,0.032296,0.00000915952662641395
8,10,0.028560,0.00000016846861589112
8,11,0.027597,0.00004013271977797394
8,12,0.023864,0.00000007840692745259
8,13,0.022129,0.00000002489462375818
8,14,0.020559,0.00000014409972547567
8,15,0.019124,0.00000003381848649408
8,16,0.018729,0.00000006424283034629
8,17,0.018292,0.00000003792486587304
8,18,0.019261,0.00001375269671958096
8,19,0.017704,0.00000932409825956562
8,20,0.018448,0.00002197674315074108
8,21,0.025880,0.00000046518429261741
8,22,0.024763,0.00000007741470348273
8,23,0.023945,0.00000009108429206144
8,24,0.023230,0.00000020475714059591
8,25,0.022348,0.00000008878168466363
8,26,0.021574,0.00000008010890857415
8,27,0.020812,0.00000002522732918558
8,28,0.020195,0.00000009258070842434
8,29,0.019501,0.00000003573772274544
8,30,0.018906,0.00000007076454459022
8,31,0.018629,0.00000054491391548746
8,32,0.017850,0.00000005416283964459
8,33,0.017549,0.00000095273402997595
8,34,0.017821,0.00001608516210966456
8,35,0.016451,0.00000010274253898071
8,36,0.015961,0.00000009214518482735
8,37,0.015603,0.00000002109119961097
8,38,0.015182,0.00000013096833588179
8,39,0.014886,0.00000006718106811907
8,40,0.014577,0.00000003253932577707
12,1,0.377608,0.00000090565079730946
12,2,0.196384,0.00001570022555463058
12,3,0.130593,0.00000555878783532268
12,4,0.103270,0.00002047402369608724
12,5,0.083912,0.00002562478090171532
12,6,0.068192,0.00000024748867706330
12,7,0.058552,0.00000018511572178446
12,8,0.052824,0.00001367845091483775
12,9,0.047225,0.00000025023666868431
12,10,0.043359,0.00001396862536960436
12,11,0.038745,0.00000023051750525710
12,12,0.036623,0.00001238126992283624
12,13,0.034626,0.00001060334640731018
12,14,0.032364,0.00000719942110354947
12,15,0.031353,0.00000761694681566308
12,16,0.028578,0.00000013611190511232
12,17,0.027288,0.00000007020469103478
12,18,0.025779,0.00000007368003891757
12,19,0.025016,0.00000495761866878773
12,20,0.033881,0.00004677759574505564
12,21,0.036871,0.00000224857216314789
12,22,0.036365,0.00000027613556415167
12,23,0.035267,0.00000089162864466520
12,24,0.034064,0.00000006730721400776
12,25,0.032730,0.00000008627162567947
12,26,0.031694,0.00000008746867686078
12,27,0.030443,0.00000008950035505546
12,28,0.029542,0.00000013940685674714
12,29,0.028574,0.00000003497408784663
12,30,0.027778,0.00000001565722802450
12,31,0.027173,0.00000076999927945736
12,32,0.026439,0.00000009790669638480
12,33,0.025795,0.00000066826024351784
12,34,0.025739,0.00000265724217089221
12,35,0.024240,0.00000001318774169133
12,36,0.023748,0.00000006225407443734
12,37,0.023338,0.00000092722861717643
12,38,0.022819,0.00000100377652094804
12,39,0.022367,0.00000013807782788809
12,40,0.021771,0.00000009247835289538
16,1,0.506984,0.00000557539167967342
16,2,0.270237,0.00000078949084070202
16,3,0.181715,0.00001014491387938399
16,4,0.138695,0.00006063893629554003
16,5,0.109757,0.00000297937801498894
16,6,0.094235,0.00002098590270946133
16,7,0.081422,0.00000263595484967303
16,8,0.071412,0.00000180528479218782
16,9,0.063457,0.00000026054800458126
16,10,0.057267,0.00000036542086069570
16,11,0.052275,0.00000022973514107368
16,12,0.049958,0.00003176177703092201
16,13,0.044279,0.00000011395255572838
16,14,0.046393,0.00009086353180408626
16,15,0.045023,0.00007433662770237139
16,16,0.039285,0.00001102596788840003
16,17,0.036708,0.00000184693063775134
16,18,0.035602,0.00001051705977128432
16,19,0.033492,0.00000693254071015530
16,20,0.034776,0.00004838081835070119
16,21,0.048220,0.00000664463989228220
16,22,0.048167,0.00000259959586305842
16,23,0.046818,0.00000010485464641260
16,24,0.045159,0.00000108171195982235
16,25,0.043336,0.00000013387858333684
16,26,0.042224,0.00000095560535962807
16,27,0.040723,0.00000046775068876064
16,28,0.039272,0.00000009144973761072
16,29,0.038057,0.00000010901560799397
16,30,0.036997,0.00000076332963458250
16,31,0.035869,0.00000103266079212070
16,32,0.034812,0.00000120390595779964
16,33,0.033984,0.00000108887141547918
16,34,0.032902,0.00000019673847369015
16,35,0.032054,0.00000013959289211428
16,36,0.031264,0.00000003660962810376
16,37,0.031038,0.00000300284026577586
16,38,0.029870,0.00000010906506721390
16,39,0.029582,0.00000088054496366327
16,40,0.028651,0.00000009461078045717
32,1,1.039675,0.00001350047129604892
32,2,0.540793,0.00008801416352002428
32,3,0.369283,0.00001731591213146959
32,4,0.280747,0.00000283252006107775
32,5,0.227196,0.00003725348729309833
32,6,0.189248,0.00000365191081894560
32,7,0.161779,0.00000203777694123218
32,8,0.143663,0.00000081007116639144
32,9,0.130194,0.00001498136837543824
32,10,0.116503,0.00000037299462103264
32,11,0.106105,0.00000029150977306600
32,12,0.105832,0.00017501061833204585
32,13,0.092674,0.00001857171650420724
32,14,0.085944,0.00002031444529782605
32,15,0.084225,0.00001592013022471770
32,16,0.079524,0.00003111706222303885
32,17,0.075494,0.00004407079281706452
32,18,0.073216,0.00004970930432895596
32,19,0.066358,0.00000019526491815275
32,20,0.082447,0.00028988595896617143
32,21,0.095460,0.00003147853690956598
32,22,0.093288,0.00001455477533114546
32,23,0.090782,0.00000571315836389134
32,24,0.089098,0.00000209085048303673
32,25,0.086302,0.00000027871671308522
32,26,0.083259,0.00000040203842904818
32,27,0.080381,0.00000036950447856270
32,28,0.077845,0.00000008100907597197
32,29,0.075596,0.00000066405749573876
32,30,0.072951,0.00000012325863046355
32,31,0.071373,0.00000268012424245032
32,32,0.068618,0.00000022148425680613
32,33,0.066543,0.00000018188538099556
32,34,0.064779,0.00000011535176334695
32,35,0.063505,0.00000038878293615384
32,36,0.062304,0.00000015347846484626
32,37,0.060763,0.00000006327462702581
32,38,0.059305,0.00000093669228009856
32,39,0.057836,0.00000018399157729695
32,40,0.056577,0.00000016538417082446
64,1,2.140000,0.00010640753847520941
64,2,1.102306,0.00004544722383600681
64,3,0.735211,0.00005022437803592257
64,4,0.570608,0.00000347398546858846
64,5,0.462530,0.00001356481680607153
64,6,0.392849,0.00024987362563680605
64,7,0.334599,0.00003075524024900964
64,8,0.294475,0.00002788229421563628
64,9,0.265522,0.00000142685494849149
64,10,0.242991,0.00002654944463038846
64,11,0.220348,0.00005112389801268590
64,12,0.200943,0.00000048067667262419
64,13,0.185825,0.00000092758754141075
64,14,0.172206,0.00000039973634183123
64,15,0.160960,0.00000057454981727129
64,16,0.154069,0.00003372031339290829
64,17,0.154621,0.00005623135659340516
64,18,0.144961,0.00001694493269561371
64,19,0.136518,0.00000410598852419468
64,20,0.136444,0.00025694093087841671
64,21,0.194232,0.00002194551298402178
64,22,0.188912,0.00000312402785591257
64,23,0.182721,0.00000184914389583664
64,24,0.177633,0.00000186971364177880
64,25,0.171151,0.00000037109117087542
64,26,0.165010,0.00000031003980851179
64,27,0.159254,0.00000155155093986785
64,28,0.154733,0.00000028959730887044
64,29,0.149446,0.00000034547406172930
64,30,0.144682,0.00000020736129955272
64,31,0.140729,0.00000488545840857405
64,32,0.136508,0.00000029806791778707
64,33,0.132611,0.00000144132568114115
64,34,0.128932,0.00000045447826804135
64,35,0.125441,0.00000034463878375699
64,36,0.123717,0.00000154053811051102
64,37,0.121020,0.00000128286491765668
64,38,0.117366,0.00000027135510611472
64,39,0.114650,0.00000023542243368197
64,40,0.119814,0.00019488737843660858